,ZIPCODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,GROSS_SQUARE_FEET,AGE,TAX_CLASS,BUILDING_CLASS,SALE_PRICE
7366 ,11234 ,2 ,0 ,1440 ,97 ,1 ,13 ,370000 
7367 ,11234 ,2 ,0 ,1302 ,97 ,1 ,13 ,555000 
7368 ,11234 ,2 ,0 ,1680 ,67 ,1 ,11 ,590000 
7369 ,11234 ,2 ,0 ,2180 ,87 ,1 ,11 ,142800 
7370 ,11234 ,2 ,0 ,2180 ,87 ,1 ,11 ,725000 
7371 ,11234 ,2 ,0 ,2420 ,62 ,1 ,11 ,572000 
7372 ,11234 ,2 ,0 ,2800 ,10 ,1 ,12 ,700000 
7373 ,11234 ,2 ,0 ,1760 ,67 ,1 ,11 ,580000 
7374 ,11234 ,2 ,0 ,2130 ,97 ,1 ,12 ,470000 
7375 ,11234 ,2 ,0 ,1352 ,97 ,1 ,13 ,450000 
7376 ,11234 ,2 ,0 ,1802 ,62 ,1 ,11 ,499000 
7377 ,11234 ,2 ,0 ,1450 ,62 ,1 ,13 ,531000 
7378 ,11234 ,2 ,0 ,2703 ,52 ,1 ,11 ,456199 
7379 ,11234 ,2 ,0 ,2500 ,67 ,1 ,11 ,830000 
7380 ,11234 ,2 ,0 ,1404 ,62 ,1 ,13 ,425000 
7381 ,11234 ,2 ,0 ,2288 ,52 ,1 ,12 ,865000 
7382 ,11234 ,2 ,0 ,1540 ,67 ,1 ,11 ,545000 
7383 ,11234 ,2 ,0 ,1560 ,57 ,1 ,11 ,375000 
7384 ,11234 ,2 ,0 ,1510 ,57 ,1 ,11 ,560000 
7385 ,11234 ,2 ,0 ,1510 ,57 ,1 ,11 ,450000 
7386 ,11234 ,2 ,0 ,1770 ,87 ,1 ,12 ,561350 
7387 ,11234 ,2 ,0 ,2200 ,67 ,1 ,11 ,545000 
7388 ,11234 ,2 ,0 ,1540 ,62 ,1 ,11 ,445000 
7389 ,11234 ,2 ,0 ,1540 ,62 ,1 ,11 ,300500 
7390 ,11234 ,2 ,0 ,1540 ,62 ,1 ,11 ,475000 
7391 ,11234 ,2 ,0 ,1720 ,62 ,1 ,11 ,460000 
7392 ,11234 ,2 ,0 ,1912 ,57 ,1 ,11 ,515000 
7393 ,11234 ,2 ,0 ,1638 ,62 ,1 ,11 ,20000 
7394 ,11234 ,2 ,0 ,2232 ,57 ,1 ,12 ,590000 
7395 ,11234 ,2 ,0 ,1980 ,92 ,1 ,12 ,635000 
7396 ,11234 ,2 ,0 ,2108 ,52 ,1 ,14 ,710700 
7397 ,11234 ,2 ,0 ,2520 ,52 ,1 ,14 ,640000 
7398 ,11234 ,2 ,0 ,1585 ,57 ,1 ,11 ,265000 
7399 ,11234 ,2 ,0 ,1840 ,77 ,1 ,11 ,595000 
